MaleAltmer,FemaleAltmer,FamilyAltmer,MaleArgonian,FemaleArgonian,FamilyArgonian,MaleBosmer,FemaleBosmer,FamilyBosmer,MaleBreton,FemaleBreton,FamilyBreton,MaleDunmer,FemaleDunmer,FamilyDunmer,MaleImperial,FemaleImperial,FamilyImperial,MaleKhajiit,FemaleKhajiit,FamilyKhajiit
Vingalmo,Anildalin,,Yinz'r,Buxtil,,Niruin,Arthwiien,,Jauffre,Carcette,Ysciele,Breves,Dralora,Andrelo,Roderic,Domitiana,Hodge,Ma'Khar,Shunari,
Amuur,Aninwe,,Ah-Malz,Chalaree,,Orchendor,Athemel,,Jean-Pierre,Colette,Yvienne,Breynis,Dralosa,Aralen,Roliand,Drusilla,Hoff,Ma'Zahn,Tsabhi,
Arcorion,Aniralda,,Ajum-Kajin,Chanaius,,Ronthil,Atheval,,Jhared,Daighre,Amelion,Briras,Dralsea,Areleth,Rufrius,Dulcilla,Hosidius,M'nashi,Tsajadhi,
Eambar,Anirione,,Beem-Kiurz,Chaneej,,Syndus,Athirion,,Jim,Delphine,Bantien,Broder,Draramu,Arinith,Savlian,Dumania,Hosidus,M'Shan,Tsalani,
Erandil,Anirmelda,,DarJee,Chastul,,Thaer,Athuviel,,Kastus,Eola,Jemane,Broris,Drarayne,Arothan,Servatius,Duras,Idolus,Qa'Dar,Tsani,
Falantar,Anirwe,,Deetum-Ja,Chaxolee,,Ungrien,Balia,,Lazare,Erith,Lirrian,Brothes,Dratha,Athram,Severius,Duvia,Inian,Ra'Karim,Tsiya,
Falandil,Anirwen,,Dreet-Lai,Cheerz,,Valindor,Belane,,Lewin,Fianna,Loche,Dalam,Dravynea,Athrys,Stantus,Edana,Jarol,Ra'Kothre,Tsrazami,
Falarel,Antomine,,Er-Teeus,Chelni,,Arganar,Belwanril,,Marc,Ildene,Pierrane,Daldur,Dredyni,Balen,Steffan,Edwina,Jeranus,Ra'Mhirr,Ubaasi,
Filpormo,Anurlan,,GeemJasaiin,Chexi,,Fingaenion,Belwinan,,Marcel,Isabelle,Retiene,Dalin,Drelasa,Belas,Sulinus,Elianna,Jirich,Ra'Sava,Udarra,
Glamion,Anwelore,,Gin-Wulm,Chimatei,,Gwannor,Berisse,,Mathieu,Julienne,Surilie,Dalmil,Drelyne,Berendas,Surius,Elianne,Lachance,Ra'Tesh,Unjara,
Helonel,Anwulsawen,,Jee-Tah,Chirurgeon,,Hurolas,Berwentha,,Matthias,Kaie,Aethelred,Dalos,Drendrisa,Berethi,Tahm,Elska,Laftrius,Ra'Virr,Vanjirra,
Karulae,Araltil,,Jeetum-Ze,Choixth,,Mandolion,Berwiria,,Norbert,Laelette,Afranius,Dals,Dreveni,Dalen,Tertius,Enganna,Lannus,Ra'Zahr,Zahraji,
Kilolemar,Aramil,,Oleed-Ei,Cholasistu,,Miruin,Birwaen,,Ogier,Lisette,Alouette,Dalvus,Drilame,Darethi,Tertullian,Engannas,Lerus,Ra'Zhid,Eye-Fly,
Malkar,Aranalda,,Pad-Ei,Choxi,,Nedras,Bondileth,,Philip,Madena,Aric,Danar,Driloru,Daryon,Toutius,Eponis,Lex,Ri'Darsha,Sugar-Lips,
Norendo,Aranecarne,,Tun-Zeeus,Chunkeesei,,Ronahanar,Boriel,,Renald,Mena,Arne,Dandras,Drireri,Darys,Trenus,Etira,Logellus,Ri'Dumiwa,Abhuki,
Tancano,Aranias,,Weebam-Na,Churasu,,Adamir,Borogilmith,,Reynald,Michel,Aumilie,Danel,Drolora,Dran,Tyrellius,Euraxia,Lollia,Ri'Shajirr,Ahdarji,
Aenthannir,Aranorne,,BigHead,Dafeeso,,Adragros,Borwaegal,,Roderic,Mirabelle,Beanique,Daral,Drorayni,Drom,Uriel,Faltonia,Longus,Ri'Vassa,Ahjazda,
Aesmer,Arantale,,Cat-Face,Dajaheel,,Adwien,Borwaeneth,,Roland,Modhna,Belette,Daras,Drulene,Falas,Valandrus,Famia,Loran,Ri'Zaadha,Ashni,
Aesril,Aranwen,,Grey-Throat,Dajaleen,,Aenedhel,Bothiel,,Rowley,Muiri,Bellamont,Daren,Drurile,Falen,Valus,Farida,Lovidicus,S'Bakha,Atahba,
Aicaano,Arawe,,Hauls-Ropes-Faster,Dakee,,Aengaer,Bowenas,,Salomon,Rhiada,Berene,Darns,Duldresi,Faram,Vandorallen,Fausta,Maborel,Sholani,Atrabhi,
Aicessar,Arawen,,Hears-Voices-In-The-Air,Dakeeto,,Aengvar,Bredrel,,Samuel,Sabine,Bienne,Daroder,Dulnea,Faren,Vantus,Faustine,Maenius,S'Radirr,Ayisha,
Ainaame,Arawende,,Hides-His-Heart,Daleez,,Aenthalor,Brelenel,,Sam,Senna,Bincal,Dartis,Edryno,Farethi,Velan,Felixa,Mallius,S'Rava,Dro'Nahrahe,
Alamar,Arcimil,,HuntingTail,Damatez,,Aeradan,Brelinith,,Traelius,Sorine,Blakeley,Darvam,Eldrasea,Farys,Velus,Felra,Matius,S'Raverr,Kishashi,
Alarnon,Ardalure,,RavenBiter,Damee,,Aerchelas,Brelondith,,Theranis,Sybille,Branck,Daryn,Eldrilu,Favelnim,Velwyn,Finia,Melissaeia,S'Renji,Nahsi,
Aldarnen,Areldur,,Right-Wind,Damonalus,,Aering,Breloth,,Thorley,Uaile,Brigette,Dather,Elmera,Gilvayn,Viator,Flacassia,Monrius,S'Vandra,S'fara,
Alderdon,Arenwe,,Scar-Tail,Dasha,,Aerolor,Brendil,,Timothee,Vivienne,Brolus,Dathus,Elmussa,Heleran,Viranus,Florentia,Nanus,S'virr,S'jirra,
Aldimion,Aressea,,Sings-LikeThunder,Deca,,Agilgor,Brithril,,Ulrich,Voada,Canne,Davas,Elvasea,Heran,Vlanarus,Fortunata,Nirol,Thengil,S'kasha,
Aldolin,Arfaire,,Deekus,Deegeeta,,Aginlas,Calendir,,Vicente,Josseline,Channitte,Davis,Elynea,Hlaalo,Vlanhonder,Fralvia,Nonius,Urjorad,S'Krivva,
Aldotarel,Arfanwe,,Derkeethus,Deel,,Aglion,Calenethel,,Vincent,Marie,Corgine,Davur,Elynu,Hlan,Vlarimil,Fruscia,Oholin,Wadarkhu,S'mirra,
Almion,Arfire,,Madesi,Deemat,,Agolas,Calithil,,Morven,Ysabel,Denile,Daynes,Endase,Hlas,Vontan,Gaea,Olo,Bhisha,S'thasa,
Alrdorion,Arfiril,,Neetrenaza,Deetaku,,Agular,Canda,,Adeber,Amelie,Diel,Daynil,Endroni,Hlen,Vontus,Galeria,Opsius,Dahlima,Shamada,
Alturco,Arfolasse,,Usha,Deetul,,Agwodir,Candariel,,Ainethach,Anabelle,Don,Dedaenc,Eralane,Hler,Zedrick,Ganna,Orania,Dro'shanji,Shomara,
Amaalmo,Arnarne,,Veezara,Deetwos,,Alander,Candion,,Alain,Anais,Draconis,Delmon,Erirvase,Hloran,Adonato,Gemma,Orius,Hassiri,Shuravi,
Amballicil,Arnarra,,Beem-Ja,Degadeesh,,Aldor,Caraleth,,Amaund,Arnaude,Eardwulf,Delmus,Ernse,Indalen,Adventus,Gemmia,Patneim,J'baana,Talasma,
Ambalor,Arnurdurwe,,Brand-Shei*,Dergla,,Aliir,Caralith,,Anton,Belya,Ernarde,Delvam,Ervesa,Indarys,Aerin,Gnaea,Petilius,J'Baasha,Tsalajma,
Ambucilion,Arnure,,Gajul-Lei,Deyapa,,Alphrennor,Caranith,,Arniel,Calysa,Fanis,Deras,Ervona,Llendu,Agrius,Gratidia,Phillida,J'bari,Tsarrina,
Ambaran,Arnuulle,,Gulum-Ei,Dokishnaza,,Alphrost,Caranwel,,Banning,Camille,Fanriene,Dethresa,Ervyna,Marvel,Alethius,Helena,Pinder,J'Ghasta,Tsavi,
Aminyon,Arnyeana,,Ilas-Tei,Dosa,,Althaedal,Cariel,,Belchimac,Celeste,Festinius,Deval,Ethal,Marys,Aquillius,Helvia,Polus,J'mhad,Tsramla,
Amyril,Arocil,,Jaree-Ra,Dradeiva,,Altholmir,Carwengil,,Belethor,Cerise,Franc,Devas,Ethasi,Moren,Aventus,Hestra,Prelius,J'riska,Tsrava,
Anarume,Aroliel,,Talen-Jei,Droran,,Amlion,Cayliss,,Bendt,Dorianne,Frasoric,Dils,Evesa,Morvayn,Bassianus,Hilora,Prentus,J'skar,Vajhira,
Ancalmo,Arowende,,Teeba-Ei,Drujal,,Amlundar,Celanarth,,Blaise,Emeraude,Galena,Dinor,Evilu,Mothryon,Caius,Holli,Previa,J'zidzo,Yushi,
Ancarive,Artaste,,Deep-In-His-Cups,Druxolneeus,,Amreval,Celaranith,,Braig,Finia,Galien,Dirver,Fadase,Nelas,Calixto,Honorata,Quintilius,J'zin-Dar,Zabhila,
Ancelhros,Arteril,,Scouts-Many-Marshes,Easeeto,,Andoriel,Celorien,,Brandish,Frederique,Gene,Divayth,Fadile,Nerano,Cicero,Honoria,Raman,Ja'Fazir,Zahrasha,
Ancemen,Arterome,,Bunach,Eatzapa,,Andranon,Celwen,,Cedran,Helene,Geonette,Dolmyn,Falanu,Nirith,Constantius,Horonna,Rian,K'Sharr,Ahkari,
Ancolcalion,Artilonwe,,Ahkur,Eukkaneeus,,Andrilion,Cemaria,,Celann,Heralda,Georick,Dolyn,Falena,Norvayn,Corpulus,Horulia,Rienus,M'aiq,Ahjisi,
Anconath,Artinaire,,Ahlu,Ezei,,Andrinlor,Cenrathil,,Clinton,Laetitia,Gernand,Dondos,Falura,Norvayne,Crescius,Hyponea,Rilian,Ma'Raska,Atahbah,
Andame,Artiranwen,,Ahtalg,Geeh,,Angeron,Cerethriath,,Cosnach,Laurette,Gulitte,Donus,Fanasa,Omalas,Dexion,Idessa,Rosentia,Ma'zaddha,Khayla,
Anderferion,Artuwe,,Aliskeeh,Ghekuknaza,,Angilor,Cerwaenor,,Cynric,Melina,Herrick,Dovor,Fanisea,Omalor,Dirge*,Idessia,Rufus,M'dasha,Ra'zhinda,
Andresalmo,Arufinwe,,Anash,Ghelaha,,Anglalas,Cerweriell,,Dalan,Michele,Imbel,Dovres,Fanuse,Omoril,Ennodius,Idonea,Runellius,M'desi,Shavari,
Andulalion,Arwolquen,,Argar,Gideelar,,Anglas,Cerwil,,Degaine,Regine,Jeanard,Dralas,Faral,Omothan,Falx,Ilfras,Rusonius,M'dirr,Tsavani,
Andur,Astalwen,,Aseepa,Haxara,,Anglenthor,Ciinderel,,Delacourt,Tyrrya,Jend,Drals,Faralenu,Othralen,Florentius,Infrasia,Scribonia,M'raaj-Dar,Tsrasuna,
Angamar,Astanya,,Asheeus,Heenashan,,Anglorn,Ciindirre,,Delvin,Valaunce,Jenseric,Dralval,Farare,Othrelas,Gaius,Iocani,Senarel,Ranarr-Jo,Zaynabi,
Angardil,Asteril,,Ashgar,Hikinu,,Anthelion,Ciirenas,,Donnel,Agarthe,Jurard,Dram,Faras,Othreleth,Gallus,Itinia,Senyan,R'vanni,Badali,
Angedreth,Astewen,,Azeenus,Hixultvutar,,Aralem,Ciireriath,,Dorian,Agathe,Labouche,Dramis,Farena,Othreloth,Gavros,Janieta,Sestius,Ra'dirsha,Burri,
Angiente,Astilme,,Azinar,Honei,,Arengo,Ciirillie,,Dryston,Alana,LaRouche,Drandryn,Farusea,Othrenim,Gian,Janta,Silver,Ra'Jahirr,Dagla,
Anginil,Astirhil,,Azri,Ianix,,Arengur,Circone,,Duach,Alix,Laul,Dranos,Fathasa,Ralas,Leontius,Jastia,Statlilia,Ra'Jhan,Kirai-la,
Ango,Astorne,,Bahrei,Imhey,,Arenion,Cirithiel,,Eltrys,Alverine,Leland,Drarayne,Fathusa,Raledran,Lucan,Jera,Trebatius,Ra'jhera,Mabeba,
Angolin,Astuwae,,Bahtei,Inalz,,Arthor,Coradri,,Emmanuel,Andeleine,Lelles,Drarel,Favani,Ravel,Mallus,Jerae,Truiand,Ra'jiradh,Muhada,
Anirlo,Atildel,,Balahkath,Iozukeeus,,Athraedal,Cwynoniel,,Enmon,Annarique,Lemonds,Draron,Favela,Releth,Marcurio,Jerina,Turrianus,Ri'Bassa,Najirra,
Anquen,Atofir,,Banka,Inue,,Athrahgor,Cygaenir,,Ennoc,Anya,Lencolia,Drarus,Favilea,Romoren,Metilius,Julia,Valga,Ri'Jirr,Shawia,
Antarandur,Avarya,,Barnaxi,Itzaki,,Azareth,Cygwen,,Erj,Ardine,Litte,Draryn,Favise,Romori,Noster,Julitta,Valus,Ri'Zakar,Tarrami,
Antur,Avinaire,,Batuus,Jasaii,,Baenelros,Cygwenn,,Esmond,Astrimunde,Luseph,Drathyn,Favona,Rothandus,Orthus,Juna,Vanin,S'drassa,Zulana,
Anyon,Avinisse,,Beeheisei,Jasudei,,Balithil,Dailalleth,,Etienne,Augustine,Maborel,Dravasa,Fedura,Samori,Paratus,Justa,Varrid,S'rathad,Abadai,
Aonus,Avirel,,Beenalz,Jeetum,,Baronas,Dailedrith,,Francois*,Aurelie,Magius,Dredase,Feldrelo,Sarandas,Pavo,Justina,Vassinus,S'razirr,Abadusa,
Aracar,Ayrenn,,Benas,Jukka,,Barothlas,Dailinir,,Garvey,Bernetta,Malene,Drelayn,Felisa,Sarothril,Plautis,Justinia,Vedius,S'shani,Abahrimaya,
Aralyon,Azarari,,Beshnus,Juutenma,,Barulor,Dailinthil,,Gauldur,Bethany,Manis,Drelis,Felmena,Savel,Proventus,Kaie,Vesnia,Urjabhi,Abandarra-la,
Arantar,Belardirwe,,Bewlus,Kahei,,Bastheladir,Dailirwen,,Giraud,Brigibeth,Marane,Drelse,Felsa,Savil,Quentin,Kerelia,Viducia,Dro'marash,Abazbi,
Arartar,Belarin,,Bezeer,Kaloo,,Behelir,Dailithil,,Glover,Catherine,Maric,Drerel,Felsu,Sedas,Quintus,Kirandas,Vinicius,J'darr,Abelaya,
Arathel,Calanye,,Bijot,Kaska,,Bellulor,Dairaegal,,Hamelyn,Celence,Marie,Dreynis,Feralea,Selaren,Reburrus,Kyleus,Viria,J'datharr,Abenil,
Arcarin,Calanyese,,Bosekus,Keeran,,Bendralas,Dalaneth,,Hathrasil,Cesarelle,Mastien,Dreynos,Ferise,Selas,Rexus,Ladia,Vlindrel,J'Kier,Abernura,
Ardorin,Calawende,,Brsssp,Keerasa,,Benduin,Dandra,,Herluin,Clarique,Melie,Dridas,Ferone,Selvilo,Rogatus,Lalaine,Vlinorman,J'zargo,Abernura-dra,
Arelian,Calircarya,,Bunishyeeth,Keesa,,Berdonion,Darahawn,,Imedhnain,Corynne,Merowald,Dridyn,Fervsea,Sendas,Salvianus,Lauran,Vonius,J'zhar,Abhadali,
Arelmo,Calirririe,,Buujhan,Keshu,,Berithor,Daraneth,,Jouane,Diane,Metrick,Drinar,Ferynu,Sethan,Samuel,Laurentia,Wavrick,Kharjo,Abizah,
Arfanel,Calulgwen,,Buxutheeus,Kiurz,,Berthor,Dayagwen,,Krag,Dorothella,Milvan,Drodos,Fevasa,Telas,Septimus,Laurina,Whitestrake,Kesh,Abuana,
Arillas,Camaisse,,Chakuk,Kizta,,Bodring,Dayidril,,Louis,Delumna,Mona,Dronos,Fevila,Thendas,Sergius,Lavinia,Wotrus,Ma'dran,Adabibi,
Arindur,Camalanwe,,Chalish,Kloxu,,Bolefin,Degail,,Madanach,Denille,Monet,Drores,Fieryra,Tures,Severio,Laytiva,Salvius,Ma'jhad,Adajadhi,
Arrimoril,Camaldetuile,,Chanka,Klumuk,,Bolelos,Degethel,,Malkoran,Dovice,Montrose,Drulvan,Folsi,Ulven,Silus,Lekellae,Avenicci,Ma'randru-jo,Adalamusa,
Arunen,Camenwen,,Chatapnaza,Kudda,,Bolin,Denninel,,Maurice,Edwyge,Motierre,Duldrar,Folvalie,Uvelas,Sorex,Leona,Carvain,Ma'tasarr,Adara'hai,
Aryamo,Caminarne,,Chilwir,Kulusi,,Bolion,Dessidela,,Mercer,Elgenie,Nathans,Dunel,Fomesa,Uvirith,Sulla,Leta,Maro,Ma'zaka,Adhabi,
Aryon,Camore,,Chitakus,Kunasheeth,,Bolwagon,Dinwenel,,Moric,Elia,Northwode,Edd,Fonari,Varam,Tacitus,Libertas,Uriel,M'aiq,Adharama-ri,
Astor,Camyaale,,Cholzei,Kuzei,,Bolwunor,Dirwendel,,Nepos,Elise,Ottus,Edras,Fonas,Vari,Taurinus,Licinia,Valentia,Ra'jirr,Aba-daro,
Atalmo,Canaale,,Chosumeel,Leetu,,Borcholim,Doldoniel,,Octieve,Eloise,Palielle,Edril,Forvse,Varyon,Telrav,Linia,Valerius,Ra'kheran,Adhimba,
Ateldil,Candangarilde,,Choxusha,Lineem,,Borchon,Dolian,,Odvan,Endyra,Peneles,Elam,Gadasu,Varys,Terek,Livia,Vici,Ri'saad,Adrabassi,
Atirion,Cangwen,,Chuxu,Lohulurash,,Borelril,Dolirdor,,Omluag,Enriquette,Perrick,Eldil,Gadela,Vedas,Titus,Luca,Vinius,Vasha,Adusa-daro,
Avys,Caniel,,Chuzu,Loseitsei,,Borogas,Dollian,,Perth,Estayne,Petit,Eldrar,Gadyni,Vedran,Tyranus,Luciana,Aeresius,Eilam,Aelif,
Bayenor,Canirne,,Claurth,Loxaldesh,,Borwiian,Dollinith,,Phinis,Eveline,Renault,Elethus,Galas,Veleth,Vantus,Lucina,Aretino,Khari,Afehaba,
Berrilidon,Caragwen,,Daixth,Lunsu,,Bralthahawn,Dolwinora,,Rahd,Florique,Renoit,Elms,Galasa,Verano,Varnius,Lucinia,Arius,Mahiralit,Ahainaz-daro,
Caalore,Caranande,,Darasken,Luraxith,,Bredragon,Dondrinir,,Rondach,Fredevieve,Rielle,Elo,Galdal,Vules,Venarus,Lucretia,Arria,Minshur,Ahaktha,
Caalorne,Cararilde,,Dashnu,Lutapeeth,,Bredromathor,Dondrothel,,Sam,Gabria,Selone,Elvas,Galeri,Adram,Verulus,Lusilla,Ateia,Sanadarin,Ahirneriba,
Caano,Carawen,,Debameel,Luxultava,,Bredros,Doneth,,Sebastian,Geniette,Stedrine,Elvil,Galero,Adryn,Xander,Lyra,Attius,Sarshar,Ahmuna-la,
Caerel,Carellon,,Deegeeta,Makeusta,,Breduin,Donganiel,,Staubin,Ginette,Stegine,Endar,Galore,Adus,Natalo,Maera,Axius,Touraz,Aihrima,
Cainar,Carfinwen,,Deeheesotl,Markka,,Brellin,Dongenan,,Stromm,Heloise,Tilwald,Endris,Galsu,Alam,Otho,Magna,Baenius,Zarum,Airavi,
Calanor,Carilasse,,Deejeeta,Martul,,Brelor,Donglanel,,Thomas,Inawyn,Traven,Endryn,Galuro,Alan,Strillian,Marama,Caelia,Ab'jhad,Airdeoza,
Calastil,Carillda,,Deekonus,Mateem,,Brengas,Donnaelain,,Tuthul,Iona,Tussaud,Endul,Galvene,Alari,Varo,Marenia,Caerellia,Abadurr,Aireh,
Calbalion,Carimalda,,Deekum,Matreeka,,Brengolin,Donnanel,,Tynan,Isabelle,Valtieri,Erene,Galviso,Alvor,Agrippa,Marina,Caerellius,Abal-jo,Aisarbana,
Calcamar,Caritaale,,Deerlus,Meelni,,Brengor,Donnenir,,Uraccen,Jasmine,Vautrine,Erer,Galyn,Amori,Agrius,Marja,Caesennius,Abazdul,Aitrabhi,
Caldandien,Carterril,,Demeepa,Meena,,Brenor,Donniel,,Weylin,Jeanylle,Velain,Ereven,Gandela,Andalor,Aulus,Martina,Carius,Abizag,Akethi,
Caldartur,Cartirinque,,Derkeehez,Meenai,,Briminor,Doralin,,Willem,Jeberilie,Viernis,Eris,Gandosa,Andothan,Belenius,Maxima,Cipius,Abiznaz,Almira,
Caldelnalin,Cartorrel,,Dezanu,Meerana,,Brimlagoth,Doralineth,,Erwan,Josee,Wirich,Ernil,Garalo,Andral,Bremman,Meluse,Corrium,Abizzaka,Amarri,
Caldien,Casiama,,Dixulti,Meetza,,Brimlirdor,Dorathil,,Gaston,Kaera,Lylvieve,Erns,Garas,Andrani,Bruccius,Micella,Decimius,Aburapli,Amizha,
Caldil,Casorlaure,,Dowoseez,Mereel,,Brimlor,Dorendir,,Gerard,Laelette,Mallory,Ervas,Garila,Andrilo,Carius,Midaras,Desidenius,Aburzin,Anahbi,
Caledeen,Castarnisse,,Dozaeek,Methei,,Brinthir,Doriel,,Irvic,Lea,Admand,Ethes,Garyne,Androm,Carmalo,Ministe,Duilis,Adahni,Anala,
Calenus,Castewe,,Dramukkath,Mezatil,,Brogomir,Dothriel,,Thomas,Lerisa,Beaufort,Ethys,Gilse,Andromo,Cornelius,Mirona,Endario,Adainat,Anali,
Calibar,Castyaarne,,Drakaws,Milaw,,Brolthiath,Drauginas,,Alard,Lia,Dufont,Evo,Ginadura,Androthi,Cornexius,Moria,Evicus,Adainji,Anbi,
Calion,Catannie,,Dramukkath,Milzus,,Burrfoot,Dredhedil,,Bastibien,Lilou,Endell,Evos,Gindrala,Apo,Darius,Naissa,Giordano,Adainril,Andarri,
Calondil,Catonnel,,Dreevureesh,Mimme,,Caeleneth,Earnaana,,Beaucourt,Louna,Ervine,Fadren,Girara,Aradil,Dexion,Nari,Junius,Adainurr,Anisha,
Calpelion,Cerunsawen,,Dritan,Misei,,Caelin,Edherien,,Blaise,Lucie,Frey,Falam,Girvani,Aram,Famius,Nebia,Leotelli,Adaishir,Arainaz,
Calpion,Ceryolminwe,,Drumarz,Mishapa,,Caenlilmith,Efreghar,,Cambio,Lucynda,Gane,Falso,Girynu,Areloth,Fimius,Octavia,Lex,Adibazal,Araitha,
Calpydir,Ceryra,,Druseesh,Miuni,,Caentholrin,Egilrineth,,Donel,Lyze,Gemane,Falvel,Golana,Ares,Frontarius,Orendra,Loreius,Adiblargo,Arimaia,
Calunorril,Ciindewal,,Druxith,Muhu,,Caerllelfin,Einnel,,Drago,Marayna,Gestor,Falvis,Golena,Areth,Gavo,Oriandra,Maccius,Adineta,Arrivaza,
Caluurion,Cimalire,,Dunaxith,Mukka,,Caerllin,Einrel,,Edgard,Marcelle,Guevenne,Farvam,Golmerea,Arns,Herminius,Orneldas,Mede,Adubaer-sa,Arrunirai,
Camaano,Cinwiril,,Eoki,Murrax,,Calabenn,Einriel,,Emilien,Margaud,Jondrelle,Farvyn,Golveso,Arval,Hilio,Pallia,Navale,Adubid,Aruda,
Camarelur,Ciramaire,,Esqoo,Mutei,,Calthindor,Eiola,,Geon,Marielle,Jurard,Favas,Golvyni,Athelvis,Hilo,Pania,Papius,Adusaar,Arumarr-dro,
Camarino,Cirantille,,Etsabeeh,Najeepa,,Cantadir,Elagaer,,Gilles,Marisette,Letrush,Favel,Gomeso,Athin,Horatius,Patia,Pelagia,Adusharu,Ashalki,
Canuldil,Ciranya,,Gatulm,Nameel,,Canthion,Elanas,,Giraud,Marlene,Lort,Faven,Gorenea,Athones,Humius,Pelona,Petreia,Ahainar-jo,Atahba,
Carethil,Cirenwe,,Ghelos,Narnum,,Cathras,Elandora,,Gregoire,Martine,Lothaire,Faver,Gorven,Avani,Lucius,Perennia,Plinius,Ahirkin,Athadda,
Carindon,Cirode,,Ghesee,Nasee,,Celan,Elayel,,Gustave,Mathilde,Manette,Faves,Guldrise,Avel,Marcellus,Phedra,Quintilius,Ahirunz,Atharra,
Carmion,Cirtaarie,,Gilustulm,Natalgreesh,,Celelruin,Elengil,,Henri,Mathilie,Marence,Fedar,Gulena,Avilo,Marcus,Pinarus,Sallustius,Ahmanaz,Aza,
Carnirrimo,Cirtelcare,,Grish,Nathrasa,,Celinar,Elerdel,,Julien,Maxelle,Merchad,Felayn,Gulvilie,Balur,Marianus,Pista,Salvarus,Ahmanra,Azahrr,
Cassirion,Cirterisse,,Guleesh,Nebaxireet,,Celonron,Elethien,,Joncis,Maxine,Morrard,Felen,Gureryne,Balvel,Marinus,Pladina,Signus,Airal,Azartah,
Caurtil,Cirunra,,Halish,Neeka,,Celthalion,Elirwen,,Laurisac,Michou,Motierre,Felisi,Haleneri,Bandas,Niro,Plexica,Sorenshield,Aishar-sa,Azbi-ra,
Ceborn,Ciryelda,,Hareeya,Neer,,Cendalor,Elorwen,,Lucas,Mimou,Nytte,Felsen,Hlavora,Baram,Panthius,Porcia,Tituleius,Ak'an,Azdazi,
Cebroon,Colaagwen,,Haxal,Neetizei,,Cenirond,Elphaniel,,Louis,Mortine,Onis,Felvan,Hlendrisa,Barelo,Pavo,Portia,Tragus,Ak'saz,Azena,
Celarus,Colanwe,,Heetzasi,Neetra,,Cingunor,Elphinia,,Ludippe,Nathalye,Rarnis,Felvos,Hlevala,Baren,Quatrius,Pritia,Trebatius,Akakhmar,Azeriba,
Cerulye,Colaste,,Hikathus,Niima,,Ciradir,Elphiniel,,Marane,Nuresse,Rolaine,Femer,Hlireni,Baro,Quintus,Pudentia,Tremellia,Akkhuz-ri,Aznabi,
Cimerhros,Colelsawen,,Hjorn,Nijuna,,Cirglion,Elphirion,,Marent,Nyomie,San,Fendros,Hlodala,Barus,Regulus,Pulcheria,Tullius,Akkuz,Aznara,
Cingarfin,Colerdawen,,Hleetulm,Nijuneel,,Cirithor,Elriniel,,Mathias,Oceane,Sidrey,Fendryn,Idrenie,Baryon,Rufinus,Regine,Turrianus,Akrah,Azreshilla,
Cinildil,Colinra,,Hleezeireeus,Nojaxia,,Cirnean,Elruin,,Olivier,Odette,Stentor,Feranos,Idronea,Barys,Severus,Quintia,Vendicci,Akumjhargo,Azshira,
Cinnar,Connalenwe,,Honan,Nokama,,Cirodros,Elsaril,,Phillic,Phoebe,Stroud,Ferele,Idroso,Bavani,Tatius,Rafora,Vesuius,Alathur,Azum,
Cinosarion,Connulsewen,,Iggistill,Nowa,,Cirthile,Elsenia,,Achille,Prudence,Tyne,Feril,Idula,Bedas,Aberius,Rasala,Vinicia,Amajhan,Azuni,
Cintuumetil,Connynque,,Ilus,Noxutln,,Cirtor,Elsonia,,Alain,Rosalind,Virane,Feruren,Ienasa,Belaal,Abnur,Rilia,Vulpin,Amarbak,Azuruna,
Cinucil,Corelanya,,Iokkas,Nubaree,,Clenalgor,Elsoreth,,Alessiac,Rosamonde,Geric,Fervas,Ienase,Belan,Absolon,Rona,Tharn,Amargon,Baimarri,
Ciral,Corerine,,Iskenaaz,Nukorash,,Clenegor,Emalith,,Aloin,Senna,Derre,Fevris,Ienaso,Belaram,Accalia,Sabenda,Falto,Amartash,Bakkhara,
Cirandur,Culanwe,,Jaraleet,Nurdan,,Cunendor,Emanir,,Amberic,Simone,Barthel,Fevus,Ilmeni,Belden,Adonatus,Safia,Lentinus,Amsaad,Banji,
Circimure,Cularalda,,Jeela,Nutum,,Cunodir,Emolwen,,Anton,Sosara,Benele,Fevyn,Ilmyna,Beloren,Aetis,Sandana,Arius,Amsha,Banobani,
Cirdur,Cularime,,Jeelus,Nuwisha,,Daenilroth,Emoneth,,Arcady,Valentina,Brigette,Folms,Indrele,Bels,Agapius,Sarmosia,Attius,Amu,Barnibi,
Cirendur,Culast,,Jilux,Nuxal,,Dalodir,Emuin,,Arnaud,Valentique,Vanne,Folvys,Inera,Belvani,Ancurio,Selene,Axilla,Anat,Bataba,
Ciricollo,Culdandil,,Juut,Oleena,,Dalrelvir,Endoriell,,Arniel,Vanisande,Armene,Folyni,Irna,Belvayn,Andoche,Senna,Axius,Andal-ma,Bayya,
Cirimion,Culdansea,,Kalanu,Omeeta,,Dalrithor,Endrith,,Audric,Victoire,Astier,Fons,Irvama,Belvilo,Andreas,Septima,Berne,Aneshi,Bazali,
Cirion,Culdarsewen,,Kamatpa,Osheeja,,Danrithri,Endriwen,,Auguste,Vimy,Charnis,Fonus,Irvsie,Bemis,Antus,Severa,Blasio,Anil-do,Bazri,
Cirmo,Culdilgwe,,Kankeeus,Padeehei,,Dardalmoth,Enduinas,,Avrippe,Vincelle,Cine,Forven,Ivela,Benelas,Appius,Severia,Celatus,Anjiir,Bebbia,
